x,y,V
0,0,0
0,10,2.93
0,20,3.42
0,25,1.89
0,30,0.11
0,40,0.19
0,50,0.29
10,0,0
10,10,2.81
10,20,3.41
10,25,0
10,30,0.08
10,40,0.17
10,50,0.27
20,0,0
20,10,2.76
20,20,3.51
20,25,0
20,30,0.07
20,40,0.14
20,50,0.25
30,0,0
30,10,3.09
30,20,3.49
30,25,0
30,30,0.07
30,40,0.14
30,50,0.25
40,0,0
40,10,2.85
40,20,3.38
40,25,0
40,30,0.09
40,40,0.18
40,50,0.23
50,0,0
50,10,2.90
50,20,3.63
50,25,1.42
50,30,0.12
50,40,0.21
50,50,0.22
