x,y,V
0,0,0
0,10,1.13
0,20,2.51
0,30,3.38
0,40,4.29
0,50,4.93
10,0,0
10,10,1.28
10,20,2.47
10,30,3.41
10,40,3.91
10,50,4.71
20,0,0
20,10,1.31
20,20,2.61
20,30,3.32
20,40,4.58
20,50,4.91
30,0,0
30,10,1.02
30,20,2.44
30,30,3.29
30,40,4.34
30,50,4.87
40,0,0
40,10,1.17
40,20,2.39
40,30,3.21
40,40,4.07
40,50,4.95
50,0,0
50,10,1.26
50,20,2.13
50,30,3.18
50,40,4.49
50,50,4.84
